,Date,Close,High,Low,Open,Volume,SMA_Short,SMA_Long,Signal,Position
0,2024-05-10,148.65380859375,151.6812831296526,144.04808205499515,144.8123987746352,2246700,141.63317779541015,126.45280822753907,1,0.0
1,2024-05-13,146.66859436035156,149.15012860190782,146.09287659878055,148.42552484427665,1317700,141.81037017822266,126.56086891174317,1,0.0
2,2024-05-14,150.16259765625,150.4306075931761,147.28402401665952,147.65128623483324,1679900,141.98212646484376,126.68941097259521,1,0.0
3,2024-05-15,152.94192504882812,153.40845471273903,151.38351422553347,151.8699004049105,1524600,142.17993713378905,126.85297885894775,1,0.0
4,2024-05-16,153.1702117919922,153.69629582127598,151.4430737132425,151.4430737132425,1325000,142.34524993896486,127.0141830444336,1,0.0
5,2024-05-17,153.09080505371094,154.20254268501884,151.89967165581518,153.36873567501718,1857000,142.44773040771486,127.14917125701905,1,0.0
6,2024-05-20,153.49778747558594,153.8054953102651,152.3364312224016,152.83273809022825,906200,142.58689178466796,127.29932598114014,1,0.0
7,2024-05-21,152.53492736816406,153.50768443787481,151.21474948623023,153.20991248006223,997100,142.71829162597658,127.4384955215454,1,0.0
8,2024-05-22,151.74085998535156,153.34890456890398,151.5125630624467,152.4456224161673,1231300,142.82290893554688,127.57265800476074,1,0.0
9,2024-05-23,149.43798828125,151.3438046748387,149.00123585116216,151.3438046748387,1005200,142.881865234375,127.6862226486206,1,0.0
10,2024-05-24,149.54718017578125,150.3412741464061,148.4552990729117,149.69606616886222,784300,142.99473541259766,127.80388763427734,1,0.0
11,2024-05-28,147.11526489257812,150.07324911075602,146.60902227488108,149.70598693405913,1366900,143.0139761352539,127.9092943572998,1,0.0
12,2024-05-29,144.40542602539062,145.90428229368445,143.68082231953528,145.65612888726037,1603200,143.00656982421876,128.0050518798828,1,0.0
13,2024-05-30,130.44927978515625,134.18150153410463,124.37448929322917,124.37448929322917,5138500,142.69427490234375,128.03206535339356,1,0.0
